Year,Month,Stock_Symbol,Adj Close
2022,1,0005.HK,51.126
2022,2,0005.HK,50.198
2022,3,0005.HK,50.29
2022,4,0005.HK,46.377
2022,5,0005.HK,49.769
2022,6,0005.HK,49.339
2022,7,0005.HK,47.189
2022,8,0005.HK,46.425
2022,9,0005.HK,39.947
2022,10,0005.HK,38.979
2022,11,0005.HK,45.758
2022,12,0005.HK,47.017
2023,1,0005.HK,56.12
2023,2,0005.HK,57.427
2023,3,0005.HK,51.52
2023,4,0005.HK,56.055
2023,5,0005.HK,57.603
2023,6,0005.HK,61
2023,7,0005.HK,65.2
2022,1,0388.HK,425.227
2022,2,0388.HK,364.922
2022,3,0388.HK,358.93
2022,4,0388.HK,330.517
2022,5,0388.HK,331.887
2022,6,0388.HK,377.678
2022,7,0388.HK,351.26
2022,8,0388.HK,310.948
2022,9,0388.HK,266.652
2022,10,0388.HK,206.714
2022,11,0388.HK,302.653
2022,12,0388.HK,333.512
2023,1,0388.HK,348.546
2023,2,0388.HK,311.159
2023,3,0388.HK,344.392
2023,4,0388.HK,324
2023,5,0388.HK,286.6
2023,6,0388.HK,295.2
2023,7,0388.HK,325.8
2022,1,0700.HK,465.682
2022,2,0700.HK,416.267
2022,3,0700.HK,369.818
2022,4,0700.HK,372.98
2022,5,0700.HK,358.156
2022,6,0700.HK,351.897
2022,7,0700.HK,304.633
2022,8,0700.HK,324.889
2022,9,0700.HK,264.518
2022,10,0700.HK,204.148
2022,11,0700.HK,285.172
2022,12,0700.HK,314.985
2023,1,0700.HK,379.501
2023,2,0700.HK,341.173
2023,3,0700.HK,383.075
2023,4,0700.HK,341.967
2023,5,0700.HK,308.406
2023,6,0700.HK,331.6
2023,7,0700.HK,354.4
2022,1,0939.HK,5.065
2022,2,0939.HK,4.964
2022,3,0939.HK,4.989
2022,4,0939.HK,4.735
2022,5,0939.HK,4.947
2022,6,0939.HK,4.464
2022,7,0939.HK,4.587
2022,8,0939.HK,4.459
2022,9,0939.HK,4.157
2022,10,0939.HK,3.818
2022,11,0939.HK,4.312
2022,12,0939.HK,4.477
2023,1,0939.HK,4.651
2023,2,0939.HK,4.395
2023,3,0939.HK,4.66
2023,4,0939.HK,4.807
2023,5,0939.HK,4.587
2023,6,0939.HK,4.642
2023,7,0939.HK,4.148
2022,1,3690.HK,220.2
2022,2,3690.HK,172.2
2022,3,3690.HK,155.6
2022,4,3690.HK,172
2022,5,3690.HK,187
2022,6,3690.HK,194.2
2022,7,3690.HK,176.3
2022,8,3690.HK,189.8
2022,9,3690.HK,165.6
2022,10,3690.HK,124.8
2022,11,3690.HK,163.6
2022,12,3690.HK,174.7
2023,1,3690.HK,174.6
2023,2,3690.HK,136.1
2023,3,3690.HK,143.5
2023,4,3690.HK,133
2023,5,3690.HK,110.2
2023,6,3690.HK,122.3
2023,7,3690.HK,146.3
2022,1,9988.HK,114.7
2022,2,9988.HK,104.2
2022,3,9988.HK,112.1
2022,4,9988.HK,102.1
2022,5,9988.HK,96.25
2022,6,9988.HK,111.9
2022,7,9988.HK,93.1
2022,8,9988.HK,94.3
2022,9,9988.HK,77.95
2022,10,9988.HK,61.45
2022,11,9988.HK,79.9
2022,12,9988.HK,86.25
2023,1,9988.HK,107.6
2023,2,9988.HK,86.5
2023,3,9988.HK,100.4
2023,4,9988.HK,82.05
2023,5,9988.HK,77.9
2023,6,9988.HK,81.2
2023,7,9988.HK,97.5
