Year,Month,Stock_Symbol,Monthly_Return
2022,2,0005.HK,-0.01815123420568787
2022,3,9988.HK,0.07581573896353166
2022,4,3690.HK,0.1053984575835476
2022,5,3690.HK,0.08720930232558133
2022,6,9988.HK,0.16259740259740263
2022,7,0939.HK,0.027553763440860024
2022,8,3690.HK,0.07657402155416904
2022,9,0939.HK,-0.06772819017716969
2022,10,0005.HK,-0.02423210754249394
2022,11,0388.HK,0.46411467051094757
2022,12,0700.HK,0.10454392436845117
2023,1,9988.HK,0.24753623188405793
2023,2,0005.HK,0.023289379900213847
2023,3,9988.HK,0.1606936416184972
2023,4,0005.HK,0.08802406832298137
2023,5,0005.HK,0.027615734546427628
2023,6,3690.HK,0.10980036297640638
2023,7,9988.HK,0.2007389162561577
