date,mktrf,exret
2022/1/3,0.0073,0.126911629
2022/1/4,-0.0029,-0.042732878
2022/1/5,-0.0228,-0.054953895
2022/1/6,0,-0.02175838
2022/1/7,-0.0048,-0.036090049
2022/1/10,-0.0015,0.029890741
2022/1/11,0.011,0.005917482
2022/1/12,0.0012,0.038537546
2022/1/13,-0.0157,-0.069876555
2022/1/14,0.0008,0.017346435
2022/1/18,-0.0208,-0.018364847
2022/1/19,-0.0101,-0.0344133
2022/1/20,-0.0114,0.00062251
2022/1/21,-0.021,-0.053998072
2022/1/24,0.0053,-0.014835636
2022/1/25,-0.0143,-0.012551567
2022/1/26,-0.003,0.020487738
2022/1/27,-0.0079,-0.122779975
2022/1/28,0.0245,0.02059221
2022/1/31,0.0234,0.101451387
2022/2/1,0.0087,-0.005856643
2022/2/2,0.0048,-0.027863807
2022/2/3,-0.0249,-0.016162406
2022/2/4,0.0089,0.035474387
2022/2/7,-0.0025,-0.017458707
2022/2/8,0.0102,0.016028052
2022/2/9,0.0161,0.010787525
2022/2/10,-0.0169,-0.029895213
2022/2/11,-0.0192,-0.050505215
2022/2/14,-0.0035,0.018159773
2022/2/15,0.0187,0.051919324
2022/2/16,-0.0002,0.001040212
2022/2/17,-0.0228,-0.052286102
2022/2/18,-0.0087,-0.022350968
2022/2/22,-0.0118,-0.042246177
2022/2/23,-0.0196,-0.072548302
2022/2/24,0.0189,0.046953674
2022/2/25,0.0223,0.011299946
2022/2/28,0.0005,0.072113634
2022/3/1,-0.0157,-0.006986492
2022/3/2,0.0181,0.017796005
2022/3/3,-0.0088,-0.047240575
2022/3/4,-0.011,-0.00119223
2022/3/7,-0.0312,-0.041043691
2022/3/8,-0.0052,0.024335419
2022/3/9,0.028,0.041078194
2022/3/10,-0.0047,-0.024358018
2022/3/11,-0.0149,-0.052593704
2022/3/14,-0.0106,-0.037117202
2022/3/15,0.0215,0.045306346
2022/3/16,0.0261,0.046704219
2022/3/17,0.0143,0.036654934
2022/3/18,0.0133,0.038035198
2022/3/21,-0.0018,0.01726801
2022/3/22,0.0131,0.076083284
2022/3/23,-0.0126,0.005147863
2022/3/24,0.0142,0.01471434
2022/3/25,0.0027,-0.003240182
2022/3/28,0.0073,0.077280507
2022/3/29,0.0145,0.007054914
2022/3/30,-0.0083,-0.005087674
2022/3/31,-0.0155,-0.015095174
2022/4/1,0.0039,0.006455652
2022/4/4,0.0094,0.054585578
2022/4/5,-0.0154,-0.048474637
2022/4/6,-0.0124,-0.04259907
2022/4/7,0.0033,0.010926791
2022/4/8,-0.0039,-0.030520186
2022/4/11,-0.0153,-0.049544932
2022/4/12,-0.0029,0.011218537
2022/4/13,0.014,0.035249374
2022/4/14,-0.0128,-0.037247093
2022/4/18,-0.0021,0.01938444
2022/4/19,0.0177,0.023470262
2022/4/20,-0.0028,-0.050835022
2022/4/21,-0.0175,0.031795636
2022/4/22,-0.0274,-0.00371443
2022/4/25,0.0071,-0.007029223
2022/4/26,-0.03,-0.129937858
2022/4/27,0.0012,0.005780879
2022/4/28,0.0244,-0.00455803
2022/4/29,-0.0353,-0.007731958
2022/5/2,0.008,0.036279773
2022/5/3,0.0041,0.006953975
2022/5/4,0.03,0.046585993
2022/5/5,-0.038,-0.086969909
2022/5/6,-0.0085,-0.008785574
2022/5/9,-0.0354,-0.095122636
2022/5/10,0.002,0.016283708
2022/5/11,-0.0195,-0.08616265
2022/5/12,0.0017,-0.00821798
2022/5/13,0.0276,0.055546832
2022/5/16,-0.006,-0.060565596
2022/5/17,0.0214,0.05012229
2022/5/18,-0.0404,-0.070447269
2022/5/19,-0.0034,-0.000559614
2022/5/20,-0.0005,-0.066326161
2022/5/23,0.0174,0.016422951
2022/5/24,-0.0123,-0.071779559
2022/5/25,0.0122,0.047615085
2022/5/26,0.0218,0.071632654
2022/5/27,0.0258,0.070758819
2022/5/31,-0.0071,-0.001815192
2022/6/1,-0.0075,-0.023906273
2022/6/2,0.0209,0.045683035
2022/6/3,-0.0163,-0.096754139
2022/6/6,0.0033,0.015889806
2022/6/7,0.0099,0.00251282
2022/6/8,-0.0102,0.012367351
2022/6/9,-0.0244,-0.009000672
2022/6/10,-0.03,-0.031717705
2022/6/13,-0.0413,-0.073699727
2022/6/14,-0.0025,0.023576322
2022/6/15,0.0155,0.053343616
2022/6/16,-0.0352,-0.089306886
2022/6/17,0.0047,0.016999158
2022/6/21,0.0238,0.089394116
